productName,currentprice,mrp,imageurl
JUNEBERRY,₹359,₹1199,https://rukminim1.flixcart.com/image/612/612/kv9urgw0/top/a/7/4/xl-jb-tsh-gl33-anthra-juneberry-original-imag87nxcpnenytk.jpeg?q=70
FEBIA,₹295,₹899,https://rukminim1.flixcart.com/image/612/612/k7c88sw0/top/u/c/r/m-hw-top310-hanumntra-original-imafphxu32uedjdc.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/xif0q/top/d/a/u/s-dmp338-dmp-fashion-original-imagefhzedmqjmx9-bb.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/s/n/l/xxl-0013-top-dl-fashion-original-imaggf53g4fwqhye.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/ks0onm80/kurta/o/m/t/4xl-dmpa319-dmp-fashion-original-imag5zfb8scbxhgj.jpeg?q=70
FEBIA,₹324,₹899,https://rukminim1.flixcart.com/image/612/612/kflftzk0/top/u/r/e/m-hw-top317-hanumntra-original-imafwyshth72cmh5.jpeg?q=70
HARPA,₹408,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/c/s/s/l-gr6201-blue-harpa-original-imafzt9tujn9m6te-bb.jpeg?q=70
HARPA,₹406,₹1199,https://rukminim1.flixcart.com/image/612/612/kflftzk0/top/h/e/f/s-gr5872-rust-harpa-original-imafwyshr3trn97j.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/l2rwzgw0/top/j/g/k/xxl-dmp339-dmp-fashion-original-imagefhpabzykfpw.jpeg?q=70
Aashvi garments,₹249,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/l/y/j/xl-woman-top-nvh-original-imagj2nzzkbngvzh.jpeg?q=70
POPWINGS,₹249,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/p/c/c/xxl-p-popt00836-popwings-original-imagyrhahezk8vdb-bb.jpeg?q=70
Oomph!,₹299,₹1000,https://rukminim1.flixcart.com/image/612/612/l1i6w7k0/top/d/4/t/xl-mt398-oomph-original-imagd2cemquzsqkz.jpeg?q=70
ANNU PARIDHAN,₹329,₹1199,https://rukminim1.flixcart.com/image/612/612/xif0q/kurta/x/d/j/xl-anu1153-annu-paridhan-original-imagburpz95hnmuh-bb.jpeg?q=70
BRAVISHESH,₹359,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/f/x/f/l-hdy24-bravishesh-original-imaggmwkgq2gajak.jpeg?q=70
Sheetal Associates,₹279,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/t/p/h/xs-4201-sheetal-associates-original-imagjtftgmhneumc.jpeg?q=70
Fab Star,₹360,₹1399,https://rukminim1.flixcart.com/image/612/612/xif0q/top/d/t/w/s-regular-top-fab-star-original-imag6e5wfrbfxbyf-bb.jpeg?q=70
Aahwan,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/s/0/w/l-178-black-aahwan-original-imagfn6ff9vfk2zc-bb.jpeg?q=70
BRAVISHESH,₹359,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/g/y/9/s-hdy27-bravishesh-original-imaggmwkhkedzwmn.jpeg?q=70
SLENOR,₹446,₹2499,https://rukminim1.flixcart.com/image/612/612/xif0q/top/e/b/8/xs-sn-t-113-slenor-original-imag8jpdzhs5e3cn-bb.jpeg?q=70
Oomph!,₹199,₹1000,https://rukminim1.flixcart.com/image/612/612/k3ncakw0pkrrdj/top/z/y/q/3xl-mt87-oomph-original-imafmgd8xmdkwyqd.jpeg?q=70
Silkova,₹286,₹1799,https://rukminim1.flixcart.com/image/612/612/km6mxe80/top/p/t/p/m-st01-silkova-original-imagf5fm8rqfkdxe.jpeg?q=70
BRAVISHESH,₹449,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/p/3/e/l-bts-girl-bravishesh-original-imaghgft5gtgwt6g.jpeg?q=70
Silkova,₹228,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/g/4/z/xs-emb-silkova-original-imafzskdv39wya7e-bb.jpeg?q=70
Selvia,₹359,₹1563,https://rukminim1.flixcart.com/image/612/612/xif0q/top/g/2/1/m-407tk343-selvia-original-imagj4wqjqdzhjab.jpeg?q=70
Silkova,₹243,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/f/t/a/l-emb-silkova-original-imafzskdvsw5nqdz-bb.jpeg?q=70
FEBIA,₹271,₹899,https://rukminim1.flixcart.com/image/612/612/kdxfc7k0/top/x/h/z/s-bj-top340-hanumntra-original-imafuqcp5fwmyqua.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/koad9jk0/top/r/w/z/s-0078-top-dl-fashion-original-imag2rzffnkbgrzz.jpeg?q=70
Selvia,₹299,₹1497,https://rukminim1.flixcart.com/image/612/612/xif0q/top/m/m/g/s-178tkr2905-selvia-original-imag7ufbn2yzxdun-bb.jpeg?q=70
POPWINGS,₹299,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/u/r/h/s-p-popt00811-popwings-original-imafzwq3vj5jzrja-bb.jpeg?q=70
FEBIA,₹308,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/d/h/k/xl-bj-top0319-febia-original-imafwrhygdrmwugy-bb.jpeg?q=70
NITVAN,₹373,₹1599,https://rukminim1.flixcart.com/image/612/612/xif0q/top/5/g/q/l-nit-526-nitvan-original-imafwghyguzzhb7h-bb.jpeg?q=70
Moshe,₹343,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/u/z/l-puff-crop-top-women-alle-moda-original-imaggupecv72zstm.jpeg?q=70
SASSAFRAS,₹584,₹1499,https://rukminim1.flixcart.com/image/612/612/kq8dua80/top/m/f/1/l-sftops40130-sassafras-original-imag4agjxcsvymhn.jpeg?q=70
FEBIA,₹324,₹699,https://rukminim1.flixcart.com/image/612/612/k6qsn0w0/top/g/z/p/m-hw-top337-hanumntra-original-imafp5yatg9qppjc.jpeg?q=70
MARISY,₹309,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/u/f/u/s-yto-marisy-original-imagdmzk9n4kcjka-bb.jpeg?q=70
Brijam,₹304,₹999,https://rukminim1.flixcart.com/image/612/612/l3dcl8w0/top/4/1/o/xs-tr-19-brijam-original-imageg7hfcegdujb.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/b/s/l-00105-top-dl-fashion-original-imag38u46dwzehhq-bb.jpeg?q=70
krishnafit,₹275,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/b/3/l-kf-28-women-square-neck-full-sleeve-top-krishnafit-original-imaggqn8fy2gdtrz.jpeg?q=70
Prettify,₹349,₹2329,https://rukminim1.flixcart.com/image/612/612/l51d30w0/top/n/c/x/s-prw-1016-prettify-original-imagftfbmdaszrak.jpeg?q=70
POPWINGS,₹299,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/7/x/k/s-p-popt00821-popwings-original-imagypycyfeuynxh-bb.jpeg?q=70
HARPA,₹315,₹1199,https://rukminim1.flixcart.com/image/612/612/kflftzk0/top/9/f/j/xl-gr5693-pink-harpa-original-imafwysgrnswdqk6.jpeg?q=70
Zkal,₹387,₹1499,https://rukminim1.flixcart.com/image/612/612/l2p23rk0/top/v/r/h/s-ys-wt01-ysec-original-imagdzb5g8cnutzt.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/t/9/6/l-00142-ct-dl-fashion-original-imag4cfggagzym55-bb.jpeg?q=70
